redshift 1.12-4
remmina 1:1.4.21-1
rest 0.8.1-3
rhash 1.4.2-1
rnnoise 0.4.1-1
rpmextract 1.0-9
rtkit 0.13-1
rubberband 1.9.2-1
ruby 3.0.2-2
ruby-irb 1.3.6-1
ruby-reline 0.2.5-1
rubygems 3.2.29-1
run-parts 5.5-1
runc 1.0.2-2
rxvt-unicode 9.26-2
rxvt-unicode-terminfo 9.26-2
sbc 1.5-2
scrot 1.6-2
sdl2 2.0.16-4
sdl2_image 2.0.5-2
seabios 1.14.0-1
sed 4.8-1
semver 7.3.5-2
serd 0.30.10-1
shaderc 2021.2-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
signon-kwallet-extension 21.08.2-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
slang 2.3.2-2
slop 7.5-5
smbclient 4.15.0-1
snappy 1.1.9-2
solid 5.87.0-1
sonnet 5.87.0-1
sops 3.7.1-3
sord 0.16.8-1
sound-theme-freedesktop 0.8-4
soundtouch 2.3.0-1
speex 1.2.0-3
speexdsp 1.2.0-2
spice 0.15.0-1
spirv-tools 2021.3-1
sqlite 3.36.0-1
sratom 0.6.8-1
